"AUXRR170.Code.or.Value","AUXRR170.Value.Description","AUXRR170.Count","AUXRR170.Cumulative","AUXRR170.Skip.to.Item"
"-24 to 127","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
