"LBD199LC.Code.or.Value","LBD199LC.Value.Description","LBD199LC.Count","LBD199LC.Cumulative","LBD199LC.Skip.to.Item"
"0","At or above the detection limit",280,280,NA
"1","Below lower detection limit",12,292,NA
".","Missing",9,301,NA
