"URXNNCT.Code.or.Value","URXNNCT.Value.Description","URXNNCT.Count","URXNNCT.Cumulative","URXNNCT.Skip.to.Item"
"1.77 to 613","Range of Values",614,614,NA
".","Missing",2141,2755,NA
