"LBXVIDMS.Code.or.Value","LBXVIDMS.Value.Description","LBXVIDMS.Count","LBXVIDMS.Cumulative","LBXVIDMS.Skip.to.Item"
"8.53 to 318","Range of Values",8437,8437,NA
".","Missing",985,9422,NA
