"URDUTULC.Code.or.Value","URDUTULC.Value.Description","URDUTULC.Count","URDUTULC.Cumulative","URDUTULC.Skip.to.Item"
"0","At or above the detection limit",2154,2154,NA
"1","Below lower detection limit",337,2491,NA
".","Missing",103,2594,NA
