"AUDTYR26.Code.or.Value","AUDTYR26.Value.Description","AUDTYR26.Count","AUDTYR26.Cumulative","AUDTYR26.Skip.to.Item"
"0 to 1.59","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
