"FSD660ZC.Code.or.Value","FSD660ZC.Value.Description","FSD660ZC.Count","FSD660ZC.Cumulative","FSD660ZC.Skip.to.Item"
"1","Yes",717,717,NA
"2","No",254,971,NA
"7","Refused",0,971,NA
"9","Don't know",0,971,NA
".","Missing",9178,10149,NA
