"OSD030ba.Code.or.Value","OSD030ba.Value.Description","OSD030ba.Count","OSD030ba.Cumulative","OSD030ba.Skip.to.Item"
"2 to 84","Range of Values",383,383,NA
"85","85 or older",2,385,NA
"77777","Refused",0,385,NA
"99999","Don't know",2,387,NA
".","Missing",4493,4880,NA
