"DR1TCHL.Code.or.Value","DR1TCHL.Value.Description","DR1TCHL.Count","DR1TCHL.Cumulative","DR1TCHL.Skip.to.Item"
"2.4 to 3368.8","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
