"DXXPT61X.Code.or.Value","DXXPT61X.Value.Description","DXXPT61X.Count","DXXPT61X.Cumulative","DXXPT61X.Skip.to.Item"
"551 to 1131.7","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
