"HSQ480.Code.or.Value","HSQ480.Value.Description","HSQ480.Count","HSQ480.Cumulative","HSQ480.Skip.to.Item"
"0 to 30","Range of Values",6336,6336,NA
"77","Refused",0,6336,NA
"99","Don't know",13,6349,NA
".","Missing",2958,9307,NA
