"RFXC094.Code.or.Value","RFXC094.Value.Description","RFXC094.Count","RFXC094.Cumulative","RFXC094.Skip.to.Item"
"-5.548 to 4.516","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
