"VIXKRM1.Code.or.Value","VIXKRM1.Value.Description","VIXKRM1.Count","VIXKRM1.Cumulative","VIXKRM1.Skip.to.Item"
"5.96 to 9.91","Range of Values",6442,6442,NA
"88","Could not obtain",51,6493,NA
".","Missing",497,6990,NA
