"LBXTPO.Code.or.Value","LBXTPO.Value.Description","LBXTPO.Count","LBXTPO.Cumulative","LBXTPO.Skip.to.Item"
"0.18 to 948.9","Range of Values",2342,2342,NA
".","Missing",202,2544,NA
