"URXOXY.Code.or.Value","URXOXY.Value.Description","URXOXY.Count","URXOXY.Cumulative","URXOXY.Skip.to.Item"
"0.07 to 17.5","Range of Values",2747,2747,NA
".","Missing",84,2831,NA
