"MCQ220.Code.or.Value","MCQ220.Value.Description","MCQ220.Count","MCQ220.Cumulative","MCQ220.Skip.to.Item"
"1","Yes",620,620,NA
"2","No",5591,6211,NA
"7","Refused",0,6211,NA
"9","Don't know",7,6218,NA
".","Missing",3891,10109,NA
