"DR1ICALC.Code.or.Value","DR1ICALC.Value.Description","DR1ICALC.Count","DR1ICALC.Cumulative","DR1ICALC.Skip.to.Item"
"0 to 3269","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
