"WTIREP06.Code.or.Value","WTIREP06.Value.Description","WTIREP06.Count","WTIREP06.Cumulative","WTIREP06.Skip.to.Item"
"0 to 238188.48458","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
