"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.117 to 227","Range of Values",3014,3014,NA
".","Missing",265,3279,NA
