"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.084 to 0.389","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
