"DSQTVC.Code.or.Value","DSQTVC.Value.Description","DSQTVC.Count","DSQTVC.Cumulative","DSQTVC.Skip.to.Item"
"0 to 10000","Range of Values",3039,3039,NA
".","Missing",7498,10537,NA
