"AUXRR148.Code.or.Value","AUXRR148.Value.Description","AUXRR148.Count","AUXRR148.Cumulative","AUXRR148.Skip.to.Item"
"1 to 46","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
