"URDBMALC.Code.or.Value","URDBMALC.Value.Description","URDBMALC.Count","URDBMALC.Cumulative","URDBMALC.Skip.to.Item"
"0","At or above the detection limit",2647,2647,NA
"1","Below lower detection limit",8,2655,NA
".","Missing",324,2979,NA
