"DXXPT10X.Code.or.Value","DXXPT10X.Value.Description","DXXPT10X.Count","DXXPT10X.Cumulative","DXXPT10X.Skip.to.Item"
"479.6 to 1071.4","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
