"DXXPT84X.Code.or.Value","DXXPT84X.Value.Description","DXXPT84X.Count","DXXPT84X.Cumulative","DXXPT84X.Skip.to.Item"
"253.7 to 898.8","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
