"RHQ390.Code.or.Value","RHQ390.Value.Description","RHQ390.Count","RHQ390.Cumulative","RHQ390.Skip.to.Item"
"15 to 52","Range of Values",178,178,NA
"777","Refused",0,178,NA
"999","Don't know",1,179,NA
".","Missing",3686,3865,NA
