"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"2 to 650","Range of Values",2575,2575,NA
".","Missing",73,2648,NA
