"URD2DCLC.Code.or.Value","URD2DCLC.Value.Description","URD2DCLC.Count","URD2DCLC.Cumulative","URD2DCLC.Skip.to.Item"
"0","At or above the detection limit",8,8,NA
"1","Below lower detection limit",2458,2466,NA
".","Missing",85,2551,NA
