"DRD370C.Code.or.Value","DRD370C.Value.Description","DRD370C.Count","DRD370C.Cumulative","DRD370C.Skip.to.Item"
"1","Yes",118,118,""
"2","No",5003,5121,"DRD370D"
".","Missing",4692,9813,""
