"DXXAAC24.Code.or.Value","DXXAAC24.Value.Description","DXXAAC24.Count","DXXAAC24.Cumulative","DXXAAC24.Skip.to.Item"
"0 to 23","Range of Values",3140,3140,NA
".","Missing",568,3708,NA
