"LBC087LA.Code.or.Value","LBC087LA.Value.Description","LBC087LA.Count","LBC087LA.Cumulative","LBC087LA.Skip.to.Item"
"0.09 to 1.43","Range of Values",247,247,NA
".","Missing",0,247,NA
