"CFD010.Code.or.Value","CFD010.Value.Description","CFD010.Count","CFD010.Cumulative","CFD010.Skip.to.Item"
"1","Yes",1609,1609,""
"2","No",166,1775,"End of Section"
".","Missing",59,1834,""
