"RFXC126.Code.or.Value","RFXC126.Value.Description","RFXC126.Count","RFXC126.Cumulative","RFXC126.Skip.to.Item"
"-4.707 to 6.069","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
