"SSBPFOA.Code.or.Value","SSBPFOA.Value.Description","SSBPFOA.Count","SSBPFOA.Cumulative","SSBPFOA.Skip.to.Item"
"0.07 to 3","Range of Values",1954,1954,NA
".","Missing",0,1954,NA
