"SAMPLEID.Code.or.Value","SAMPLEID.Value.Description","SAMPLEID.Count","SAMPLEID.Cumulative","SAMPLEID.Skip.to.Item"
"1 to 284","Range of Values",2157,2157,NA
".","Missing",161,2318,NA
