"CIQD111.Code.or.Value","CIQD111.Value.Description","CIQD111.Count","CIQD111.Cumulative","CIQD111.Skip.to.Item"
"7 to 39","Range of Values",82,82,NA
"77","Refuse",0,82,NA
"99","Don't know",0,82,NA
".","Missing",846,928,NA
