"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"0.007 to 0.559","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
