"DRD370U.Code.or.Value","DRD370U.Value.Description","DRD370U.Count","DRD370U.Cumulative","DRD370U.Skip.to.Item"
"1","Yes",250,250,""
"2","No",4088,4338,"DRD370V"
".","Missing",4366,8704,""
