"INDFMPIR.Code.or.Value","INDFMPIR.Value.Description","INDFMPIR.Count","INDFMPIR.Cumulative","INDFMPIR.Skip.to.Item"
"0 to 4.99","Range of Values",7466,7466,NA
"5","PIR value greater than or equal to 5.00",1016,8482,NA
".","Missing",1483,9965,NA
