"SMQ210.Code.or.Value","SMQ210.Value.Description","SMQ210.Count","SMQ210.Cumulative","SMQ210.Skip.to.Item"
"1","Yes",223,223,""
"2","No",4646,4869,"End of Section"
"7","Refused",4,4873,"End of Section"
"9","Don't know",4,4877,"End of Section"
".","Missing",3,4880,""
