"PAXDAYWD.Code.or.Value","PAXDAYWD.Value.Description","PAXDAYWD.Count","PAXDAYWD.Cumulative","PAXDAYWD.Skip.to.Item"
"1","Sunday",10063,10063,NA
"2","Monday",9515,19578,NA
"3","Tuesday",8428,28006,NA
"4","Wednesday",7913,35919,NA
"5","Thursday",8010,43929,NA
"6","Friday",8083,52012,NA
"7","Saturday",9156,61168,NA
"< blank >","Missing",0,61168,NA
