"CIQG18.Code.or.Value","CIQG18.Value.Description","CIQG18.Count","CIQG18.Cumulative","CIQG18.Skip.to.Item"
"1","Yes",36,36,"CIQGPHA"
"2","No",43,79,""
"7","Refused",0,79,""
"9","Don't know",0,79,""
".","Missing",849,928,""
