"DR1IP184.Code.or.Value","DR1IP184.Value.Description","DR1IP184.Count","DR1IP184.Cumulative","DR1IP184.Skip.to.Item"
"0 to 0.504","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
