"WTSC2YR.Code.or.Value","WTSC2YR.Value.Description","WTSC2YR.Count","WTSC2YR.Cumulative","WTSC2YR.Skip.to.Item"
"14405.432403 to 541782.13734","Range of Values",2713,2713,NA
"0","No Lab Result",46,2759,NA
".","Missing",0,2759,NA
