"DUQ370.Code.or.Value","DUQ370.Value.Description","DUQ370.Count","DUQ370.Cumulative","DUQ370.Skip.to.Item"
"1","Yes",73,73,""
"2","No",2854,2927,"DUQ425"
"7","Refused",3,2930,"DUQ425"
"9","Don't know",1,2931,"DUQ425"
".","Missing",354,3285,""
