"LBXTCD.Code.or.Value","LBXTCD.Value.Description","LBXTCD.Count","LBXTCD.Cumulative","LBXTCD.Skip.to.Item"
"9.9 to 423.9","Range of Values",1898,1898,NA
".","Missing",376,2274,NA
