"LB2DAY.Code.or.Value","LB2DAY.Value.Description","LB2DAY.Count","LB2DAY.Cumulative","LB2DAY.Skip.to.Item"
"3 to 45","Range of Values",469,469,NA
".","Missing",82,551,NA
