"CIQD100.Code.or.Value","CIQD100.Value.Description","CIQD100.Count","CIQD100.Cumulative","CIQD100.Skip.to.Item"
"0 to 98","Range of Values",64,64,NA
"777","Refuse",0,64,NA
"999","Don't know",1,65,NA
".","Missing",863,928,NA
