"LBXMCHSI.Code.or.Value","LBXMCHSI.Value.Description","LBXMCHSI.Count","LBXMCHSI.Cumulative","LBXMCHSI.Skip.to.Item"
"13.8 to 38.5","Range of Values",8117,8117,NA
".","Missing",1048,9165,NA
