"OPDUPED.Code.or.Value","OPDUPED.Value.Description","OPDUPED.Count","OPDUPED.Cumulative","OPDUPED.Skip.to.Item"
"0","No",2417,2417,NA
"1","Yes",6,2423,NA
".","Missing",511,2934,NA
