"SMQ690A.Code.or.Value","SMQ690A.Value.Description","SMQ690A.Count","SMQ690A.Cumulative","SMQ690A.Skip.to.Item"
"1","Cigarettes",1343,1343,NA
"77","Refused",0,1343,NA
"99","Don't know",0,1343,NA
".","Missing",5574,6917,NA
