"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",872,872,NA
"1","Below lower detection limit",1999,2871,NA
".","Missing",70,2941,NA
