"AUXRR110.Code.or.Value","AUXRR110.Value.Description","AUXRR110.Count","AUXRR110.Cumulative","AUXRR110.Skip.to.Item"
"-62 to 46","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
