"DXXRRBMD.Code.or.Value","DXXRRBMD.Value.Description","DXXRRBMD.Count","DXXRRBMD.Cumulative","DXXRRBMD.Skip.to.Item"
"0.31 to 1.057","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
