"URXMZP.Code.or.Value","URXMZP.Value.Description","URXMZP.Count","URXMZP.Cumulative","URXMZP.Skip.to.Item"
"0.056 to 862.272","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
