"LBXSF3SI.Code.or.Value","LBXSF3SI.Value.Description","LBXSF3SI.Count","LBXSF3SI.Cumulative","LBXSF3SI.Skip.to.Item"
"0.212 to 31.6","Range of Values",7483,7483,NA
".","Missing",1473,8956,NA
