"DS2INIAC.Code.or.Value","DS2INIAC.Value.Description","DS2INIAC.Count","DS2INIAC.Cumulative","DS2INIAC.Skip.to.Item"
"0 to 2000","Range of Values",1811,1811,NA
".","Missing",3837,5648,NA
