"URXUBE.Code.or.Value","URXUBE.Value.Description","URXUBE.Count","URXUBE.Cumulative","URXUBE.Skip.to.Item"
"0.051 to 0.705","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
