"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",2489,2489,NA
"1","Below lower detection limit",572,3061,NA
".","Missing",218,3279,NA
