"LBDBR6LC.Code.or.Value","LBDBR6LC.Value.Description","LBDBR6LC.Count","LBDBR6LC.Cumulative","LBDBR6LC.Skip.to.Item"
"0","At or above the detection limit",301,301,NA
"1","Below lower detection limit",0,301,NA
".","Missing",0,301,NA
