"LBXRDW.Code.or.Value","LBXRDW.Value.Description","LBXRDW.Count","LBXRDW.Cumulative","LBXRDW.Skip.to.Item"
"6.3 to 37.8","Range of Values",8267,8267,NA
".","Missing",1040,9307,NA
