"DEQ034A.Code.or.Value","DEQ034A.Value.Description","DEQ034A.Count","DEQ034A.Cumulative","DEQ034A.Skip.to.Item"
"1","Always",260,260,""
"2","Most of the time",746,1006,""
"3","Sometimes",1294,2300,""
"4","Rarely, or",634,2934,""
"5","Never?",436,3370,""
"6","Don't go out in the sun",34,3404,"DEQ038G"
"77","Refused",0,3404,""
"99","Don't know",1,3405,""
".","Missing",4,3409,""
