"SMD410.Code.or.Value","SMD410.Value.Description","SMD410.Count","SMD410.Cumulative","SMD410.Skip.to.Item"
"1","Yes",2068,2068,NA
"2","No",7731,9799,NA
"7","Refused",2,9801,NA
"9","Don't know",3,9804,NA
".","Missing",161,9965,NA
