"DUQ210.Code.or.Value","DUQ210.Value.Description","DUQ210.Count","DUQ210.Cumulative","DUQ210.Skip.to.Item"
"0 to 46","Range of Values",1942,1942,NA
"777","Refused",3,1945,NA
"999","Don't know",0,1945,NA
".","Missing",3357,5302,NA
